,,T41-EP BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOARD,QTY,REFERENCE,VALUE,NAME ,,,,,,,,,,,,,,,,,,,,,,,,,,
main,?4 ,Bands.... Display1. Encoders. Encoders1 ,,IDC2x5_Male       ,,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,4,"C5, C9, C13, C19 ",0.0022uF ,CAP 1206, ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,2,"C8, C18 ",1nF ,CAP 1206, ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,1,J1,,IDC16M , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,1,J2 ,,CON_PHONE_JACK4 , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,2,"J3, J4 ",,SMA COAX_FEMALE ,, ,,,,,,,,,,,,,,,,,,,,,,,,
exciter,1,J5 ,,HDR-1x2H , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,1,JP1,,JUMPER , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,4,"L1, L2, L3, L4 ",Ferrite Bead ,1206, ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,1,Q1,,2N3904 , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,4,"Rl, R6, R9, R16 ",49.9,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,6,"R2, R3, R5, R11, R12, R15 ",10K ,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,2,"R4, R13 ",10k ,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,4,"R7, R14, R17, R18 ",2.2K ,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,2,"R8, R10 ",4.7K ,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,1,R19 ,5.5K ,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,1,Tl ,,0553-0013-BC-F , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,13,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TPll, TP12, TP13",,TESTPOINT , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,2,"U1, U2",,MC33078YDT ,,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,1,U3 ,,74CBTLV3253PWRE4,,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,1,U34,,74AC74MTC ,,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"C1, C4 ",56pF ,500V CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"C2, C3 ",150pF ,500V CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,11,"C5, C6, C11, C12, C17, C18, C19, C20 , C26, C27, C100 ",0.1uF ,CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"C7, C10 ",82pF ,500V CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"C8, C9 ",220pF ,500V CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"C13 , C16 ",180pF ,500V CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"C14, C15",390pF ,500V CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2," C21, C24 ",270pF ,500V CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"C22, C23 ",680pF ,500V CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"C28, C31 ",470pF ,500V CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"C29, C30 ",1200pF ,500V CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"C38, C40 ",1800pF ,CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,1,C39 ,520pF ,CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,1,C201 ,56pF ,CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,1,C202 ,130pF ,CAP 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,5,"D1, D2 D3, D4, D5",Si 100V ,1N4148 Thru , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,3,"J2, J6, J9 ",,SMA , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,1,J3,,IDC16M , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,5,"K1, K2, K3, K4, K5",,RELAY3 DPDT , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,1,L1,11T T37-6 ,INO IRON CORE , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,1,L2,13T T37-6 ,INO IRON CORE , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,1,L3,10T T37-6 ,INO IRON CORE , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"L4, L6",12T T37-6 ,INO IRON CORE , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,1,L5,14T T37-6 ,INO IRON CORE , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"L7, L9",16T T37-6 ,INO IRON CORE , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,1,L8,17T T37-6 ,INO IRON CORE , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"L11, L13",22T T37-6 ,INO IRON CORE , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,1,L12,24T T37-6 ,INO IRON CORE , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"L14, L16",21T T68-2 ,INO IRON CORE , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,1,L15,23T T68-2 ,INO IRON CORE , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,2,"L24, L25",25T T68-2 ,INO IRON CORE , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,5,"Q1, Q2, Q3, Q4, Q5",,BS170 Thru , ,,,,,,,,,,,,,,,,,,,,,,,,,
filter,5,"R1, R2, R3, R4, R5 ",6.8K ,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
